PACKING_SLIP_NUMBER,PART_NUMBER,SERIAL_NUMBER,PO_NUMBER,PO_LINE_ITEM_NUMBER,SHIP_DATE,CONTAINER_ID,VENDOR_TRACKING_NUMBER
0023707,70P867230-1003,0067187,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067408,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067066,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067065,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067295,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067409,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067262,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067133,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067263,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067324,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067438,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067148,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067349,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067264,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067325,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0066836,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067135,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067439,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067249,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067136,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067069,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067440,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067381,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067297,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067415,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067192,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067351,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067070,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067468,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067416,S60027N,64,20040429,1,04002305
0023707,70P867230-1003,0067188,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0066835,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067296,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067250,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0066927,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067410,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067134,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067411,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067348,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067189,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067323,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067190,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067412,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067068,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067265,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067326,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067413,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067149,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0066837,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067191,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067441,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067414,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067266,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067350,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067248,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067382,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067137,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067298,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067327,S60027N,64,20040429,2,04002308
0023707,70P867230-1003,0067150,S60027N,64,20040429,2,04002308
