Equipment,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
ECP BHCA,94565,67931,50705,42897,39313,46928,97430,170279,216723,257083,286514,311459,336778,332851,388141,403030,405950,400982,372710,367229,345819,323826,244537,161580
SMS BHCA,28946,15159,7727,4701,3185,4539,22113,46786,52865,68096,81001,91416,97515,99683,119225,116698,114838,117843,117588,123451,128417,123397,98977,59748
5E-1 BHCA,96716,69122,51378,43308,39706,47685,99808,175593,225281,268155,299176,325075,352033,347545,404526,420114,423066,418271,387819,380847,357423,333632,251619,165926
ECP DLN,5,4,3,4,3,3,5,7,9,10,11,11,12,12,13,13,13,13,12,12,11,11,9,7
BH Voice Erlangs for MSC,1663,898,502,308,239,336,1034,2315,3778,4535,4918,5308,5795,5485,6165,6878,7374,7593,6634,7012,6767,6738,5155,3189
BH Data Erlangs for MSC,275,254,237,226,219,228,264,310,345,359,385,383,394,393,409,416,406,405,396,398,404,382,371,334
Fwd SCH Blocks %,0,0.126997,0.181403,0,0.003431,0,0,0.000884,0.032893,0.044292,0.106606,0.103024,0.225575,0.158227,0.47424,0.311935,0.511768,0.435735,0.163476,0.199983,0.201803,0.304285,0.050524,0.00269
CDN 1,31,28,26,24,24,26,33,41,48,52,54,57,60,59,66,69,71,72,68,66,63,59,50,40
CDN 2,30,28,26,24,24,26,33,41,48,52,55,57,60,59,66,69,71,72,68,66,63,59,50,40
CDN 3,31,28,25,24,24,26,33,41,48,52,55,57,60,59,66,69,70,72,68,66,63,59,50,40
CDN 4,30,28,25,24,24,26,33,41,48,52,55,57,60,59,66,69,71,72,68,66,63,59,49,40
CDN 5,31,27,26,24,25,26,33,42,48,52,55,57,60,59,66,69,71,72,68,66,63,59,50,40
CDN 6,31,28,25,24,25,26,33,41,47,52,55,57,60,59,66,69,71,72,68,66,63,59,50,40
CDN 7,31,28,26,24,24,26,32,42,48,52,55,58,60,59,66,69,71,72,68,66,63,59,50,40
CDN 8,31,28,25,24,24,26,33,42,48,52,55,57,60,59,66,69,71,72,68,66,63,59,49,40
CDN 9,31,28,25,24,25,26,33,41,48,52,55,57,60,59,66,70,71,72,68,66,63,59,50,40
CDN Average,31,28,25,24,24,26,33,41,48,52,55,57,60,59,66,69,71,72,68,66,63,59,50,40
EIN PO 15,24,23,21,20,20,21,25,26,27,29,29,30,31,30,32,33,33,34,32,32,31,30,28,25
EIN PO 16,25,24,24,24,24,24,24,25,26,27,28,28,29,29,31,32,33,34,33,32,31,30,28,26
AP PO 21 RCS,17,15,14,14,14,14,17,20,23,25,26,27,27,27,29,30,30,29,28,28,27,27,24,20
EIN PO 21,9,8,7,7,7,7,8,12,13,14,14,15,15,15,16,16,16,16,16,16,16,15,13,10
AP PO 22 RCS,18,16,15,14,14,14,16,20,22,24,25,26,27,26,28,28,29,29,28,29,28,27,25,21
EIN PO 22,8,8,7,7,7,7,8,11,12,13,14,14,15,14,15,15,16,16,15,15,15,14,13,10
AP PO 23 RCS,18,16,15,14,14,15,18,21,24,26,26,27,28,28,30,31,32,34,32,33,32,31,27,22
EIN PO 23,10,9,8,8,8,8,10,12,13,14,15,15,16,15,17,17,18,18,18,17,17,16,15,12
AP PO 24 RCS,18,16,15,14,14,15,18,22,24,26,28,28,30,29,31,32,34,34,32,32,32,30,27,22
EIN PO 24,9,8,8,8,7,8,9,12,13,14,15,15,16,16,17,17,17,17,17,17,17,16,14,12
AP PO 25 SS7,7,6,6,6,6,6,7,8,10,10,10,10,11,11,11,12,12,12,12,12,11,11,10,8
AP PO 26 SS7,7,6,6,6,6,6,7,9,10,10,10,10,11,10,11,12,12,12,12,11,11,10,10,8
AP PO 27 SS7,7,6,6,6,6,6,7,8,9,9,10,10,10,10,11,11,11,11,11,11,10,10,9,8
AP PO 31 RCS,18,16,15,14,14,14,17,20,23,25,26,27,28,28,30,31,31,32,30,30,30,29,26,22
EIN PO 31,8,7,7,7,6,7,8,11,12,14,14,14,14,14,15,15,16,16,15,15,15,14,12,10
AP PO 32 RCS,20,17,16,15,15,15,18,22,25,28,29,31,32,31,33,34,35,36,34,35,34,33,29,24
EIN PO 32,9,8,7,7,7,7,8,11,12,13,14,15,16,15,16,17,17,17,16,16,16,15,14,11
AP PO 33 RCS,17,16,14,14,14,14,16,19,22,24,25,26,26,26,28,29,29,29,28,27,27,26,24,20
EIN PO 33,8,8,7,7,7,7,8,11,12,14,15,15,16,15,16,17,17,17,15,15,15,14,13,10
AP PO 34 RCS,19,17,15,15,14,15,18,22,25,27,28,29,30,29,31,32,33,34,32,32,31,30,26,23
EIN PO 34,9,8,7,7,7,7,9,11,12,14,14,15,15,15,16,17,17,17,16,16,16,15,13,11
AP PO 35 RCS,16,15,14,14,14,14,16,20,22,24,24,25,26,26,27,28,29,29,28,27,27,26,23,20
EIN PO 35,8,8,7,7,7,7,8,11,13,14,14,15,15,16,16,17,17,17,16,16,16,15,14,12
AP PO 36 RCS,16,15,14,14,14,14,16,20,23,24,25,26,27,26,28,29,29,29,28,28,27,26,23,20
EIN PO 36,8,7,7,7,7,7,8,11,13,14,14,15,15,14,15,16,16,16,15,15,15,14,12,10
AP PO 37 RCS,17,15,14,14,14,14,16,19,21,23,24,25,26,26,27,29,29,29,28,28,27,26,24,20
EIN PO 37,10,8,7,7,7,7,8,11,13,15,16,17,18,18,19,20,20,20,19,19,18,18,16,14
AP PO 38 RCS,18,16,15,14,14,14,17,21,24,25,26,27,28,28,29,31,32,33,32,32,31,30,27,22
EIN PO 38,9,8,7,7,7,7,8,11,13,14,14,15,15,15,16,16,17,17,16,17,16,15,14,11
AP PO 41 RCS,16,15,14,14,13,14,16,19,22,23,24,25,26,26,27,28,29,29,28,28,27,26,23,20
EIN PO 41,8,7,7,6,6,6,8,11,12,13,14,14,16,16,17,18,18,18,17,17,17,16,16,13
AP PO 42 RCS,16,15,14,14,13,14,16,20,22,24,25,25,26,26,28,28,29,29,28,28,27,26,23,19
EIN PO 42,8,7,7,7,6,6,8,11,12,13,14,14,15,15,16,16,16,16,16,16,15,14,13,11
AP PO 43 RCS,18,16,15,14,14,14,17,20,22,24,25,26,27,27,28,29,29,29,28,28,27,26,23,20
EIN PO 43,9,8,7,7,7,7,9,11,12,14,14,15,15,14,15,16,16,18,19,18,18,17,15,13
AP PO 44 RCS,17,15,14,14,14,14,16,20,23,25,26,26,27,26,28,29,30,30,28,28,27,26,23,20
EIN PO 44,9,8,8,8,7,8,9,12,13,15,15,16,16,15,16,17,17,17,16,16,15,15,13,11
AP PO 45 RCS,17,15,14,14,13,14,16,20,22,24,24,25,26,26,28,28,29,29,28,28,27,26,24,20
EIN PO 45,8,8,7,7,7,7,9,11,13,14,14,15,16,16,17,17,17,16,16,15,15,14,13,11
AP PO 46 RCS,16,15,14,14,13,14,16,19,22,24,24,26,26,26,28,28,29,29,28,28,27,26,24,20
EIN PO 46,8,7,7,7,6,7,8,11,12,14,14,15,15,16,17,17,17,17,17,16,15,15,13,11
AP PO 47 RCS,17,16,15,15,14,15,17,20,23,24,25,26,26,26,28,28,29,29,28,27,27,26,24,20
EIN PO 47,9,8,8,8,8,8,9,12,13,14,15,15,15,15,16,16,16,16,16,16,16,15,14,12
AP PO 48 RCS,17,15,14,14,13,14,16,19,21,23,24,25,26,26,27,28,29,29,28,27,27,26,23,20
EIN PO 48,9,7,7,7,6,7,8,10,12,14,15,16,17,16,18,19,19,19,18,19,18,17,15,13
AP PO 51 RCS,21,18,17,16,16,17,20,24,27,29,30,32,33,32,34,36,37,38,36,35,35,33,29,25
EIN PO 51,9,8,8,8,8,8,9,11,13,14,15,15,16,16,17,17,17,18,17,16,16,15,14,11
AP PO 52 RCS,22,20,18,18,18,18,21,24,28,31,32,33,34,34,36,36,38,38,37,37,36,35,32,27
