stuff,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,128010,96509,76098,66494,45196,57285,93990,150894,170893,196739,229160,248844,257736,257910,268603,305541,319923,314229,299058,313871,323437,311310,256985,186132
2,36706,18737,7828,3491,4057,5142,20636,46942,50173,62121,78491,83631,84578,86779,89101,104707,113737,111435,110291,114826,125460,124095,102702,63769
3,129471,97284,76617,66929,45562,58041,95895,154079,174952,201785,234739,254992,264397,264102,275235,312972,327887,322183,306300,321246,330859,317556,261629,188991
4,9,7,6,6,5,5,7,10,12,13,14,15,15,15,16,17,18,18,17,18,18,17,15,13
5,2062,1169,575,316,240,364,870,1613,2021,2306,2668,2916,3202,3045,3180,3527,3862,4133,3886,4514,4936,5146,4527,3071
6,342,278,230,193,167,200,226,283,343,397,417,438,436,447,444,466,464,467,448,457,480,497,458,374
7,0.056319,0.007011,0.003388,0.005952,0.001015,0.004137,0.005689,0.013039,0.046933,0.121781,0.259779,0.38738,0.46728,0.368533,0.572309,0.611259,0.551611,0.74036,0.396595,1.428929,2.041362,2.329393,1.554798,0.566131
8,27,21,18,17,12,15,21,30,34,37,41,44,46,46,47,52,56,54,52,54,54,53,45,35
9,27,21,17,17,13,15,21,30,33,37,41,45,46,46,48,52,56,54,51,53,54,52,45,35
10,27,21,16,17,13,15,21,30,33,37,41,45,46,46,48,52,56,54,52,54,54,52,45,35
11,27,21,18,17,12,15,21,30,33,37,42,44,46,46,48,52,56,54,51,54,54,53,45,34
12,27,21,18,17,12,15,21,30,33,37,41,45,46,46,48,52,56,54,51,54,54,53,45,34
13,27,21,18,17,12,15,21,30,33,37,41,45,46,46,47,53,56,54,51,54,54,53,45,35
14,27,21,18,17,12,15,21,30,33,37,41,45,46,46,48,52,56,54,51,54,54,53,45,35
15,18,13,11,10,7,8,13,22,26,30,34,38,38,39,40,46,48,46,43,44,45,43,36,27
16,19,13,11,10,7,8,13,22,26,29,34,38,38,39,40,46,48,46,43,44,45,43,36,27
17,19,13,11,10,7,8,13,22,26,29,34,38,38,39,40,46,48,46,43,44,45,43,37,27
18,18,13,11,10,7,8,13,22,26,30,34,38,38,40,40,46,48,46,43,44,45,43,36,27
19,18,13,11,10,7,8,13,22,26,30,34,38,38,39,40,46,48,46,43,44,45,43,36,27
20,19,13,11,10,7,8,13,22,26,29,34,38,38,39,40,46,48,46,43,44,45,43,36,27
21,19,13,11,10,7,8,13,22,26,29,34,38,38,40,40,46,48,46,43,44,45,43,37,27
22,18,13,11,10,7,8,13,22,26,30,35,38,39,39,40,46,48,46,43,44,45,43,36,26
23,19,13,11,10,7,8,13,22,26,29,34,38,38,39,40,46,48,46,43,44,45,43,36,27
24,18,13,11,10,7,8,13,22,26,30,34,38,38,40,40,46,48,46,43,44,45,43,36,27
25,18,13,11,10,7,8,13,22,26,30,34,38,39,39,40,46,48,46,43,44,45,43,36,26
26,19,13,11,10,7,8,13,22,26,29,34,38,38,39,40,46,48,46,43,44,45,43,37,27
27,18,13,11,10,7,8,13,22,26,30,34,38,38,40,40,46,48,46,43,44,45,43,36,27
28,19,13,11,10,7,8,13,22,26,29,34,38,38,39,40,46,48,46,43,44,45,43,36,27
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,19,13,11,10,7,8,13,22,26,29,34,38,38,39,40,46,48,46,43,44,45,43,37,27
31,20,17,15,15,12,13,15,19,21,22,23,24,25,25,25,26,27,26,26,26,26,26,25,22
32,19,17,15,15,12,14,17,20,21,22,23,24,25,25,25,26,26,26,25,26,26,26,24,22
33,21,18,16,16,14,15,17,20,21,22,24,24,25,25,25,27,28,28,27,28,29,28,27,23
34,10,8,7,7,7,7,8,10,10,11,12,13,13,13,13,14,14,15,14,14,14,14,13,11
35,17,16,15,15,14,14,16,18,18,19,20,20,21,21,21,22,23,23,22,22,23,23,21,19
36,9,8,7,7,7,7,7,9,10,10,11,12,12,12,12,13,13,13,12,13,13,12,11,10
37,23,20,18,16,15,16,18,22,24,25,26,28,28,28,29,30,30,31,30,31,32,33,30,26
38,10,9,8,7,7,7,8,10,12,12,13,14,14,14,14,15,15,15,14,15,15,15,14,12
39,20,18,16,16,14,15,17,19,21,22,23,24,25,24,24,26,27,27,26,27,28,28,26,22
40,9,8,7,7,7,7,8,10,11,11,12,13,13,13,13,14,14,14,14,14,14,14,13,11
41,28,22,19,18,16,17,20,25,27,28,30,31,32,32,32,34,35,35,34,35,36,37,35,29
42,12,10,8,7,7,7,9,11,12,13,14,14,15,15,15,15,16,16,15,16,16,16,15,13
43,28,23,19,18,17,18,21,26,29,30,32,33,34,34,34,37,37,38,36,38,38,40,37,31
44,12,10,8,8,7,7,9,12,13,14,14,15,15,15,16,17,17,17,16,17,17,17,16,13
45,24,21,19,18,17,18,21,23,24,26,27,28,28,29,29,31,32,32,31,32,33,33,31,27
46,10,9,8,7,7,7,8,10,11,12,12,13,13,13,14,14,15,15,15,15,15,15,14,12
47,26,23,20,19,18,19,21,25,27,28,29,30,31,31,31,32,34,34,33,33,34,35,32,28
48,11,9,8,8,7,8,9,11,12,13,14,14,15,15,15,15,16,16,15,16,16,16,15,13
49,22,19,16,14,13,14,17,21,23,25,26,28,29,28,29,30,31,32,30,31,32,33,31,25
50,26,20,16,14,13,14,17,23,25,26,27,29,30,29,30,31,32,33,32,33,34,35,33,28
51,21,17,14,13,11,12,15,20,22,23,26,27,28,28,28,29,30,30,28,29,30,31,28,24
52,23,19,15,15,13,14,16,21,24,25,26,27,28,28,29,30,32,32,30,31,32,33,31,26
53,23,20,17,16,15,16,18,22,24,25,26,27,28,28,28,30,31,31,30,31,32,32,30,26
54,7.90E-01,0,0.269052,7.658123,4.731583,6.59729,10.44079,16.709964,18.051218,20.762119,23.659532,25.803397,26.85227,26.673786,28.116103,31.975671,40.379302,38.426313,36.564702,15.967532,29.442679,36.12919,30.850925,23.632869
55,15.114544,11.675373,9.701226,8.829075,6.31854,8.074194,11.53521,16.609194,19.837087,22.006222,24.779921,27.235385,28.590194,28.101429,29.395294,32.767877,33.869341,33.456016,31.109722,32.544639,32.878409,31.346532,26.335131,19.768202
56,7.90E-01,0,0.322833,7.670758,4.739135,6.595817,10.447956,16.660008,18.051429,20.7825,23.613313,25.86548,26.855417,26.614052,28.048155,31.902456,40.377726,38.472218,36.461313,15.972567,29.475897,36.154492,30.776381,23.552849
57,15.011,11.465623,9.79846,8.760921,6.351774,8.046476,11.573901,16.593734,19.722421,22.149044,24.695258,27.203992,28.384194,28.215317,29.342623,32.921198,33.833135,33.292817,31.339905,32.635651,33.049393,31.348794,26.053714,19.855472
58,7.90E-01,0,0,7.484012,4.744992,6.60423,10.42996,16.749147,18.085663,20.80669,23.628655,25.810143,26.79794,26.757286,28.077127,31.900198,40.350472,38.443762,36.565706,15.985294,29.403746,36.144734,30.879337,23.544111
59,15.177313,11.479611,9.727706,8.787504,6.401706,8.011484,11.507802,16.556556,19.667083,22.132667,24.849992,27.222226,28.178337,28.139349,29.367647,32.825333,33.605325,33.337679,31.028833,32.826123,32.934377,31.330651,26.144516,19.73748
60,7.90E-01,0,0.219179,7.61352,4.738052,6.585829,10.40454,16.742548,18.11281,20.807806,23.63354,25.821905,26.885869,26.758687,28.122881,31.991468,40.278877,38.456579,36.489786,15.955425,29.437004,36.150349,30.806389,23.572972
61,15.017337,11.527813,9.702996,8.756448,6.333262,8.123333,11.583575,16.766012,19.751028,22.084448,24.965671,27.039198,28.208619,28.092044,29.296377,32.88856,33.904837,33.61219,31.309889,32.759798,33.084718,31.411115,26.240992,19.799512
62,25.844381,18.831718,15.335405,7.659905,4.75002,6.582099,10.404937,16.740056,18.085294,20.750056,23.658198,25.796194,26.898377,26.789409,28.081333,31.94496,40.351385,38.512008,36.552651,60.250603,46.603032,36.08925,30.870012,23.595254
63,15.21527,11.462702,9.769313,8.719524,6.340119,8.066909,11.608508,16.646956,19.759337,22.005405,24.82723,26.870286,28.50604,27.952389,29.254873,32.934583,34.119992,33.451425,31.275734,32.857206,33.098341,31.352389,26.195079,19.786698
64,25.800639,18.864484,15.252254,7.632202,4.727274,6.586198,10.44648,16.71621,18.091159,20.788679,23.64381,25.866508,26.764329,26.714087,28.04525,31.922742,40.376683,38.379242,36.582671,60.282524,46.718313,36.097218,30.841028,23.532151
65,15.018242,11.58969,9.742782,8.666944,6.413595,8.079115,11.652,16.746567,19.654639,22.143595,24.676218,27.124671,28.403583,28.060972,29.368,32.750052,34.009075,33.505706,31.381806,32.601516,32.971524,31.15971,26.499917,19.819302
66,25.809421,18.918254,15.251571,7.657409,4.759464,6.570587,10.46377,16.671067,18.033107,20.738119,23.65504,25.805091,26.810929,26.696044,28.086655,32.009794,40.317036,38.47279,36.469143,60.305012,46.731496,36.131317,30.652536,23.543829
67,15.083444,11.6405,9.79927,8.881369,6.35648,8.093663,11.471369,16.634746,19.777313,22.149409,24.929218,27.244567,28.63404,28.141325,29.361155,32.850774,33.964095,33.539405,31.754397,32.824472,33.255694,31.597361,26.345786,19.711933
68,25.903603,18.828504,15.322798,7.679905,4.738734,6.592337,10.407091,16.706552,18.039619,20.707222,23.601306,25.770813,26.84031,26.77873,28.023266,31.959563,40.261865,38.392032,36.489111,60.290544,46.64704,36.154881,30.800944,23.56131
69,15.180647,11.610786,9.770536,8.799246,6.396536,8.012321,11.499313,16.568881,19.716365,22.065829,24.884278,27.207131,28.575885,28.033698,29.36281,32.774897,33.886774,33.399802,31.110746,32.587433,32.950544,31.290552,26.433671,19.589103
70,15,12,10,9,6,8,12,17,20,22,25,27,28,28,29,33,34,33,31,33,33,31,26,20
71,78085,77579,76556,75833,74650,75189,76412,77694,78516,79173,79719,80204,80623,80778,81003,81726,81805,81926,81752,81572,81070,80681,79827,78939
72,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13
73,8,,4,3,2,2,4,11,10,14,15,16,18,17,18,20,16,18,16,23,24,26,25,17
74,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,3,2,2,2,2,3,3,3,2
75,1,0,0,0,1,0,0,1,1,2,2,1,1,2,2,2,1,2,2,1,1,1,2,1
76,4,2,2,1,1,1,2,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4
77,17,11,6,5,4,5,7,12,15,17,17,19,20,20,21,23,24,27,25,27,29,32,30,22
78,4,3,1,2,1,1,2,4,4,5,5,5,6,6,6,7,7,8,7,7,8,8,8,5
79,6,3,2,2,2,2,3,6,6,7,8,8,8,8,9,10,9,10,10,11,12,12,12,8
80,4,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,6,6,5,5,6,5,5,4
