Status,Cycle,Test Plan,TestCaseID,Client,Test Type,Rule #,Fund,Invest Type,Trans Type,BRN,Trade Date Rule,Settle Date Rule,XML Template Name,XML Trade FileName,Level,Trade Details,Client Queue,Exception Details,Trade Object Status,Trade Object Status ActValue,Trade Object Status Result,RKS Status,RKS Status ActValue,RKS Status Result,TP Status,TP Status ActValue,TP Status Result,Trade Confirmation,Trade Confirmation ActValue,Trade Confirmation Result,Trade Settlement Status,Trade Settlement ActValue,Trade Settlement Result,Trade Notification Status,Trade Notification Status ActValue,Trade Notification Status Result,Check,VP1Name,VP1ExpValue,VP1ActValue,VP1Result,VP2Name,VP2ExpValue,VP2ActValue,VP2Result,VP3Name,VP3ExpValue,VP3ActValue,VP3Result,VP4Name,VP4ExpValue,VP4ActValue,VP4Result,VP5Name,VP5ExpValue,VP5ActValue,VP5Result,VP6Name,VP6ExpValue,VP6ActValue,VP6Result,VP7Name,VP7ExpValue,VP7ActValue,VP7Result,VP8Name,VP8ExpValue,VP8ActValue,VP8Result,VP9Name,VP9ExpValue,VP9ActValue,VP9Result,VP10Name,VP10ExpValue,VP10ActValue,VP10Result,XML Element Name1,Placeholder Token1,XML Element Value1,XML Element Name2,Placeholder Token2,XML Element Value2,XML Element Name3,Placeholder Token3,XML Element Value3,XML Element Name4,Placeholder Token4,XML Element Value4,XML Element Name5,Placeholder Token5,XML Element Value5
,N,TP,TC0002S,AX,E,IM0002,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,Sender ID,AXAIMTFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0438S,,S,IM0438,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Block Execution ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0003S,,S,IM0003,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,Allocations,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Client Source Trade Order Management System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0030S,,S,IM0030,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,Allocations,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,RKS Portfolio ID,,,,SSC Portfolio ID,,,,Client Portfolio ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0068S,,S,IM0068,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,Allocations,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Client Transaction Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0019S,,S,IM0019,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Trade date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0020S,,S,IM0020,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Settlement Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0025S,,S,IM0025,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,Allocations,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,Client Source Trade Order Management System Name,DECALOG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0488S,,S,IM0488,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,Sender ID,AXAIMTFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0087S,AX,S,IM0087,X501,FW,B,,CURR,CURR,UA1_AXA_FX_fwd_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,GRS Order Type,Forward ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
