,Sheet Comment:,Simple tests of Complex using basic argument values,,,
,,,,,
,Formula,Expected Result,Comment,,
,,,,,
,3+4i,3+4i,,,
,3+4j,3+4j,,,
,i,i,,,
,1,1,,,
,2+3i,2+3i,,,
,-2-3i,-2-3i,,,
,-0.5-3.2i,-0.5-3.2i,,,
,#VALUE!,#VALUE!,argument is nonnumeric,,
,#VALUE!,#VALUE!,argument is nonnumeric,,
,#VALUE!,#VALUE!,suffix is neither i or j,,
,#VALUE!,#VALUE!,never use I,,
,#VALUE!,#VALUE!,never use J,,
<end>,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
