,Sheet Comment:,Simple tests of FactDouble using basic argument values,,,
,,,,,
,Formula,Expected Result,Comment,,
,48,48,Double factorial of 6 (48),,
,105,105,Double factorial of 7 (105),,
,46080,46080,Double factorial of 12 (46080),,
,3715891200,3715891200,Double factorial of 20 (3715891200),,
,1,1,Double factorial of 1 (1),,
,1,1,Double factorial of 0 (1),,
,2,2,Double factorial of 2 (2),,
,#VALUE!,#VALUE!,"number is nonnumeric, FACTDOUBLE returns the #VALUE!",,
,#NUM!,#NUM!,"number is negative, FACTDOUBLE returns the #NUM! error value.",,
<end>,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
