,Sheet Comment:,Simple tests of LOOKUP using basic argument values,,,,,Lookup Table,,Lookup Table,,,,,,,,,
,,,,,,,5,r0,5,30,30,45,46,47,50,75,80,81
,Formula,Expected Result,Comment,,lookup_value,,30,r1,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
,,,,,,,30,r2,,,,,,,,,,
both vectors columns,,,,,,,45,r3,,,,,,,,,,
,r3,r3,,,45,,46,r4,,,,,,,,,,
,r2,r2,last occurence of 30,,30,,47,r5,,,,,,,,,,
,r6,r6,,,55,,50,r6,,,,,,,,,,
,#N/A,#N/A,,,2,,75,r7,,,,,,,,,,
,r9,r9,,,90,,80,r8,,,,,,,,,,
,,,,,,,81,r9,,,,,,,,,,
both vectors rows,,,,,,,,,,,,,,,,,,
,r3,r3,,,45,,,,,,,,,,,,,
,r2,r2,last occurence of 30,,30,,,,,,,,,,,,,
,r6,r6,,,55,,,,,,,,,,,,,
,#N/A,#N/A,,,2,,,,,,,,,,,,,
,r9,r9,,,90,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
lookup column result row,,,,,,,,,,,,,,,,,,
,r3,r3,,,45,,,,,,,,,,,,,
,r2,r2,last occurence of 30,,30,,,,,,,,,,,,,
,r6,r6,,,55,,,,,,,,,,,,,
,#N/A,#N/A,,,2,,,,,,,,,,,,,
,r9,r9,,,90,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
lookup row result column,,,,,,,,,,,,,,,,,,
,r3,r3,,,45,,,,,,,,,,,,,
,r2,r2,last occurence of 30,,30,,,,,,,,,,,,,
,r6,r6,,,55,,,,,,,,,,,,,
,#N/A,#N/A,,,2,,,,,,,,,,,,,
,r9,r9,,,90,,,,,,,,,,,,,
,r8,r8,,,80,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
<end>,,,,,,,,,,,,,,,,,,
