what,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
111 sl-sd3-spr.sl-sdpair2-spr CPU Util,6,5,4,2,1,1,0,0,0,0,0,0,1,4,6,7,7,6,6,6,6,6,6,5
111 sl-sd3-spr.sl-sdpair2-spr Memory Util,50,50,50,50,50,50,49,49,48,48,48,48,48,49,50,50,50,50,50,50,50,50,50,50
112 sl-sd4-spr.sl-sdpair2-spr CPU Util,38,32,23,14,10,7,5,5,3,3,3,5,12,28,37,41,41,39,38,38,35,37,36,35
112 sl-sd4-spr.sl-sdpair2-spr Memory Util,55,55,55,54,54,54,53,53,52,52,52,52,53,54,54,55,55,55,55,55,54,54,55,54
114 sl-sd6-spr.sl-sdpair3-spr CPU Util,35,30,20,14,9,6,3,4,3,2,2,3,8,24,38,36,38,33,33,36,31,32,30,28
114 sl-sd6-spr.sl-sdpair3-spr Memory Util,52,52,52,52,52,51,51,51,50,50,50,50,51,52,52,53,52,52,52,52,52,52,52,52
115 sl-sd7-spr.sl-sdpair4-spr CPU Util,4,3,2,1,1,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,3
115 sl-sd7-spr.sl-sdpair4-spr Memory Util,48,48,48,48,47,47,47,47,47,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47
116 sl-sd8-spr.sl-sdpair4-spr CPU Util,30,25,16,11,7,6,4,3,2,2,2,2,8,21,30,34,32,30,28,28,29,29,28,26
116 sl-sd8-spr.sl-sdpair4-spr Memory Util,51,51,51,51,50,50,50,50,49,49,49,49,49,50,51,51,51,51,51,51,51,51,51,51
117 sl-sd9-spr.sl-sdpair5-spr CPU Util,6,5,4,2,1,1,0,0,0,0,0,0,1,4,7,7,7,7,6,6,6,6,6,5
117 sl-sd9-spr.sl-sdpair5-spr Memory Util,50,50,50,50,49,49,49,48,48,48,48,48,48,49,49,50,50,50,49,49,49,49,49,49
118 sl-sd10-spr.sl-sdpair5-spr CPU Util,37,31,23,15,10,6,4,4,3,3,3,4,10,25,40,42,41,41,39,36,36,36,35,33
118 sl-sd10-spr.sl-sdpair5-spr Memory Util,54,54,54,54,53,53,52,52,52,51,51,51,52,53,54,54,54,54,54,54,54,54,54,54
120 sl-sd11-sdpair6 CPU Util,,,,,,,,,,,,,,,,,,,3,3,3,3,3,2
120 sl-sd11-sdpair6 Memory Util,,,,,,,,,,,,,,,,,,,46,46,46,46,46,46
121 sl-sd12-sdpair6 CPU Util,18,15,12,7,5,4,2,2,1,1,1,2,5,14,19,21,21,21,19,18,18,19,17,18
121 sl-sd12-sdpair6 Memory Util,48,48,48,48,48,48,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48
123 sl-sd14-sdpair7 CPU Util,31,24,18,11,7,6,4,2,3,2,1,2,8,23,30,37,33,31,30,29,31,33,29,26
123 sl-sd14-sdpair7 Memory Util,52,52,52,52,51,51,50,50,50,50,50,50,50,51,52,53,53,53,52,52,53,53,52,52
124 sl-sd15-sdpair8 CPU Util,3,2,2,1,1,0,0,0,0,0,0,0,1,2,3,4,4,3,3,3,3,3,3,3
124 sl-sd15-sdpair8 Memory Util,46,46,46,46,46,46,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46
125 sl-sd16-sdpair8 CPU Util,21,16,14,7,6,3,3,2,1,2,1,2,7,17,23,23,26,22,20,22,20,22,20,18
125 sl-sd16-sdpair8 Memory Util,49,49,49,49,49,48,48,48,47,47,47,47,48,48,49,49,49,49,49,49,49,49,49,49
126 sl-sd17-sdpair9 CPU Util,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126 sl-sd17-sdpair9 Memory Util,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
127 sl-sd18-sdpair9 CPU Util,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127 sl-sd18-sdpair9 Memory Util,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
98  CPU Util,6,5,3,2,1,1,0,0,0,0,0,0,1,4,7,7,7,7,6,6,6,6,6,5
98  Memory Util,48,48,47,47,47,47,47,47,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47
99  CPU Util,33,26,19,12,9,6,4,3,3,3,3,4,9,22,33,35,34,33,31,29,29,29,29,27
99  Memory Util,57,57,57,56,56,55,55,55,54,54,54,54,54,55,56,57,57,57,57,56,56,56,56,56
