EXAMPLE 8,,,,,,,,,,
Single person taxed under PAYE ,,,,,,,,,,
Modified  rate PRSI contributor,,,,,,,,,,
GROSS,PRSI Liability,,Levy Liability,,Tax Liability,,Total,Total,Gain as % of ,
INCOME,Existing,Proposed,Existing,Proposed,Existing,Proposed,Gain,Gain,Net Income,
,,,,,,,(Per Year),(Per Week) (a),,
€,€,€,€,€,€,€,€,€,%,
"17,500",145,0,0,0,380,0,525,10,3.1,
"25,000 (b)",212,212,499,0,"1,872","1,472",899,17,4.0,
"30,000",258,258,600,600,"2,880","2,480",400,8,1.5,
"35,000",303,303,700,700,"4,540","3,690",850,16,2.9,
"40,000",348,348,800,800,"6,640","5,740",900,17,2.8,
"45,000",393,393,900,900,"8,740","7,790",950,18,2.7,
"50,000",408,427,"1,000","1,000","10,840","9,840",981,19,2.6,
"60,000",410,429,"1,200","1,200","15,040","13,940","1,081",21,2.5,
"80,000",412,432,"1,600","1,600","23,440","22,140","1,280",25,2.3,
"100,000",414,433,"2,000","2,000","31,840","30,340","1,480",28,2.3,
"120,000",414,434,"2,400","2,500","40,240","38,540","1,581",30,2.1,
"200,000",416,436,"4,000","4,500","73,840","71,340","1,981",38,1.6,
,,,,,,,,,,
Variations can arise due to rounding,,,,,,,,,,
(a) Gains per week are based on a 52 week year,,,,,,,,,,
"(b) Recte €24,960",,,,,,,,,,
