Testing aggregate functions,,,
,,,
Employees,,,
Name,Payment,Bonus,Total
"<jx:forEach items=""${employees1}"" var=""employee"">",,,
${employee.name},${employee.payment},${employee.bonus},$[B6*(1+C6)]
</jx:forEach>,,,
Totals:,$[SUM(B6)@0],,
,,,
Employees,,,
Name,Payment,Bonus,
"<jx:forEach items=""${employees2}"" var=""employee"">",,,
${employee.name},${employee.payment},${employee.bonus},
</jx:forEach>,,,
Totals:,$[SUM(B13)@0],,
,,,
Employees,,,
Name,Payment,Bonus,
"<jx:forEach items=""${employees3}"" var=""employee"">",,,
${employee.name},${employee.payment},${employee.bonus},
</jx:forEach>,,,
Totals:,$[SUM(B20)@0],,
,,,
Employees,,,
Name,Payment,Bonus,
"<jx:forEach items=""${employees4}"" var=""employee"">",,,
${employee.name},${employee.payment},${employee.bonus},
</jx:forEach>,,,
Totals:,$[SUM(B27)@0],,
,,,
Employees,,,
Name,Payment,Bonus,
"<jx:forEach items=""${employees5}"" var=""employee"">",,,
${employee.name},${employee.payment},${employee.bonus},
</jx:forEach>,,,
Totals:,$[SUM(B34)@0],,
,,,
IT Sum:,${sum(payment):employees1},,
Mgr Sum:,${sum(payment):employees2},,
Grand Totals:,${sum(payment):employees1} + ${sum(payment):employees2},,
,,,
Common Sum,$[SUM(B6)@0 + SUM(B13)@0 + (SUM(B20)@0) +SUM(B27)@0 + SUM(B34)@0],,
,,,
Common Sum 2,$[SUM(B6) + SUM(B13)@0 + (SUM(B20)@0) +SUM(B27)@0 + SUM(B34)],,
,,,
Common Sum 3,$[B8 + B15 + (SUM(B20)@0) +SUM(B27)@0 + SUM(B34)],,
