Event Autoresponders,,,,
,comment,Set up the thank you autoresponder,,
,eventname,CALENDAR_EVENT_BST1,,
,autorespondertype,Event Ticket Purchase Thank You,,
,sendername,,,
,senderemail,,,
,subject,,,
,plaintext,,,
,style,,,
,updateplaintextfromhtml,TRUE,,
Wysiwyg,wysiwyg_enabled,TRUE,,
,body,This is the autoresponder for CALENDAR_EVENT_BST1,,
,linkname,,,
,linktarget,,,
,linktext,,,
,linkpagename,,,
,linkaddinterest,,,
,linkremoveinterest,,,
,linknewwindow,,,
,linktitle,,,
,linkpromotioncode,,,
,linkadditionalargs,,,
,personalname,,,
,personaltext,,,
,personalgroup,,,
,personalfield,,,
,personalreptype,,,
,personalrepstyle,,,
,personalrepfields,,,
,condname,,,
,condgrouptype,,,
,condgroupname,,,
,condinterest,,,
,condtext,,,
,compname,,,
Event Managers,eventmanagertext,,,
,create,nil,,
