Survey,,,
comment,Create a survey ,Create a CRI survey,
surveyname,SURVEY_BST1,SURVEY_CRI_BST1,
security,General,General,
interests,,,
reporting,Administrators only,Administrators only,
submittext,Finish,fin,
skiptext,Next,nah,
once,TRUE,TRUE,
numbered,TRUE,TRUE,
secure,,,
groupmethod,Create New Group,Create New Group,
groupname,survey group,survey group,
grouptype,BST1,BST1,
redirecttarget,Photo Album,Document Library,
redirectaddress,,,
canceltarget,Page Navigator,Page Navigator,
cancelredirect,,,
email,devnull+survey_BST1@convio.com,devnull+survey_BST1@convio.com,
greeting,Good morning,yo mtv raps,
startmonth,Oct,Oct,
startday,12,12,
startyear,2006,2006,
endmonth,May,May,
endday,31,31,
endyear,2009,2009,
create,nil,nil,
verify,nil,nil,
publish,nil,nil,
