StoryBuilder,,,,,,,,,,,,,,,,,,,,
headline,test story,,,,,,,,,,,,,,,,,,,
subheading,race car,,,,,,,,,,,,,,,,,,,
authorfirstname ,joe,,,,,,,,,,,,,,,,,,,
authorlastname,smith,,,,,,,,,,,,,,,,,,,
keywords,/USERNEWS: BST1_cars CATID_\d+ test_story/,,,,,,,,,,,,,,,,,,,
security,General,,,,,,,,,,,,,,,,,,,
interests,,,,,,,,,,,,,,,,,,,,
publishmonth,,,,,,,,,,,,,,,,,,,,
publishday,,,,,,,,,,,,,,,,,,,,
publishyear,,,,,,,,,,,,,,,,,,,,
publishhr,,,,,,,,,,,,,,,,,,,,
publishmin,,,,,,,,,,,,,,,,,,,,
publishampm,,,,,,,,,,,,,,,,,,,,
numarticles,,,,,,,,,,,,,,,,,,,,
include,,,,,,,,,,,,,,,,,,,,
articletextonly,,,,,,,,,,,,,,,,,,,,
associateinterestlink,,,,,,,,,,,,,,,,,,,,
updateinterestbutton,,,,,,,,,,,,,,,,,,,,
body,yo mtv raps,,,,,,,,,,,,,,,,,,,
verify,nil,,,,,,,,,,,,,,,,,,,
publish,nil,,,,,,,,,,,,,,,,,,,
