,BLOCK CLAIM LIABILITY REPORT - Paid Lag Triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Millennium-2000 Sample Life Insurance Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arvind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Experience Period:  01-Aug-1998  to  31-Jul-2001.  Runout Date:  31-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,PAID CLAIMS / NUMBER OF MONTHS BETWEEN INCURRED AND PAID DATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incurred Month,Trend to Valuation Month,Exposure,Total Incurred and Paid Claims,Inc&Paid as of the end of Each Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Aug-1998, 1.1853 ," 2,576.16 "," 50,333 "," 50,333 "," 50,333 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Sep-1998, 1.1795 ," 2,663.77 "," 50,333 "," 100,666 "," 50,333 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Oct-1998, 1.1738 ," 2,728.21 "," 221,584 "," 121,003 "," 20,337 "," 176,427 "," 24,820 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Nov-1998, 1.1681 ," 2,780.75 "," 221,584 "," 337,909 "," 40,479 "," 159,677 "," 21,428 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
